id,category,hook_text
1,Curiosity,"No vas a creer lo que descubrí sobre [tema]..."
2,Curiosity,"Este error me costó semanas… y probablemente tú también lo estés cometiendo."
3,Curiosity,"¿Sabías que el 90% de los desarrolladores no hacen esto?"
4,Curiosity,"Esto cambió completamente mi forma de ver el desarrollo."
5,Curiosity,"Aprendí esto después de 6 años como [profesión]…"
6,Curiosity,"Nunca pensé que algo tan simple tuviera tanto impacto."
7,Curiosity,"Te prometo que este consejo vale más que cualquier curso."
8,Curiosity,"Lo que nadie te cuenta sobre [tema]..."
9,Curiosity,"Esto separa a los buenos de los excelentes en [industria]."
10,Curiosity,"El mayor mito sobre [tema] que debes dejar de creer."

11,Problem,"La mayoría de los desarrolladores fallan aquí..."
12,Problem,"Esto es lo que está frenando tu crecimiento profesional."
13,Problem,"Cometí este error por años y me costó caro."
14,Problem,"Así fue como arruiné mi primer proyecto grande..."
15,Problem,"Este hábito está matando tu productividad."
16,Problem,"Si estás cansado de sentirte estancado, lee esto."
17,Problem,"Por qué seguir aprendiendo más frameworks no es la solución."
18,Problem,"Nadie te enseña esto cuando inicias en [profesión]."
19,Problem,"Creía que sabía programar... hasta que aprendí esto."
20,Problem,"Este consejo hubiera cambiado mi carrera si lo hubiera escuchado antes."

21,Lesson,"6 años como desarrollador me enseñaron esto..."
22,Lesson,"Esto es lo que realmente importa en [industria]."
23,Lesson,"No necesitas ser el más inteligente, necesitas esto."
24,Lesson,"Esto marcó la diferencia entre un buen código y un gran producto."
25,Lesson,"El mayor aprendizaje de mi carrera no fue técnico."
26,Lesson,"La lección más valiosa que aprendí trabajando en [empresa]."
27,Lesson,"Esto es lo que desearía que alguien me hubiera dicho al inicio."
28,Lesson,"Después de fallar muchas veces, aprendí esto."
29,Lesson,"Esta simple práctica cambió mi forma de trabajar."
30,Lesson,"Si pudiera volver atrás, haría esto diferente."

31,Experience,"He trabajado más de 6 años en desarrollo… esto es lo que aprendí."
32,Experience,"Mi experiencia en [tecnología] me enseñó lo siguiente..."
33,Experience,"Después de liderar varios proyectos, entendí algo importante."
34,Experience,"No todo es código: aquí lo que realmente importa."
35,Experience,"Te comparto lo que aprendí trabajando con equipos de alto rendimiento."
36,Experience,"6 años de experiencia en .NET resumidos en 1 publicación."
37,Experience,"Dejé de hacer esto y mi productividad se disparó."
38,Experience,"Esto es lo que aprendí trabajando con arquitecturas limpias."
39,Experience,"Lo que la universidad nunca me enseñó, pero el trabajo sí."
40,Experience,"Lo que aprendí construyendo software para clientes reales."

41,Inspiration,"No necesitas suerte, necesitas estrategia."
42,Inspiration,"Si hoy sientes que no avanzas, recuerda esto."
43,Inspiration,"Cada línea de código es una oportunidad para mejorar."
44,Inspiration,"No estás solo. Todos empezamos sin saber."
45,Inspiration,"Tu versión futura te agradecerá por empezar hoy."
46,Inspiration,"No subestimes el poder de la constancia."
47,Inspiration,"El progreso no siempre se ve, pero siempre cuenta."
48,Inspiration,"No necesitas hacerlo perfecto, solo empezar."
49,Inspiration,"Las mejores oportunidades llegan cuando estás preparado."
50,Inspiration,"Si fallas, estás más cerca de hacerlo bien."

51,Value,"Aquí tienes un consejo que cambió mi forma de trabajar."
52,Value,"5 herramientas que mejoraron mi productividad como desarrollador."
53,Value,"El mejor consejo que puedo darte como [rol]."
54,Value,"3 hábitos que transformaron mi forma de programar."
55,Value,"Esto aumentó mi eficiencia un 200%."
56,Value,"El framework mental que uso para resolver problemas complejos."
57,Value,"Mi checklist antes de subir cualquier código a producción."
58,Value,"El error más común al aprender [tecnología] (y cómo evitarlo)."
59,Value,"Los 3 principios que sigo para escribir buen código."
60,Value,"La técnica que uso para mantener el enfoque todos los días."

61,Question,"¿Cuál fue la lección más valiosa que aprendiste este año?"
62,Question,"¿Qué consejo te habría gustado recibir al inicio de tu carrera?"
